Name of the workshop,Place,City/District,State,Region,Name of the Workshop Owner,Contact Number,Address,Pincode
CHOTU AUTO WORKS,Haldwani Road Opp Guru dwara,BAZPUR,Uttarakhand,North,Mr. Chotu,9927112631,"Near Gurudwara, Bazpur Uttarakhand",263401
D.K Automobiles,Haldwani,Nainital,Uttarakhand,North,Daya Krishan Sharma,9837944094,"Peeli kothi, Haldwani, Uttarakhand",263139
sukhdev tractor,Village - Ledi,Yamuna Nagar,Haryana,North,Sukhdev Saini,9813923613,"Village - Ledi, Yamuna Nagar, Chhachrauli",135103
MOGA AUTO GARAGE,Batala Road,Gurdaspur,Punjab,North,SUKHWINDER SINGH,9357931968,"Batala Road, Gurdaspur",143521
Chotu Auto Centre,Gharanda,Karnal,Haryana,North,Mr.Sohan Lal,9876767395,"Gharunda, Karnal",132114
Arjun motors,Tikona Park,Faridabad,Haryana,North,MR.Arjun,9891268055,"Tikona Park, N.I.T. Faridabad",121001
Raju Auto Centre,Indri,Karnal,Haryana,North,Ajeet Kumar,9416871384,"Indri, Karnal",132041
Chaudhary Auto Center,Nigdu,Karnal,Haryana,North,Jagdish Chand,9813061394,"Nigdhu, Karnal",132157
Dalip Auto,Kurukshetra,Karnal,Haryana,North,Dilip,9896057973,"Kurukshetra, Karnal",136118
A Kumar Honda Service Center,Plot No.4 Balaji Nagar Colony Samne ghat Lanka,Varanasi,Uttar Pradesh -Eastern,North,Mr.Ashok Kumar,9795036033,"Mandudin Shirdaspur, Varanasi",221108
Aditya Service center,Shastri Nagar Kalli Road,Chandauli,Uttar Pradesh -Eastern,North,Mr.Girdhari Prajapati,9889451630,"Shastri Nagar, Kalli Road, Chandauli",232104
Rajendra Hero Honda,Plot No.4 Balaji Nagar Colony Samne ghat Lanka,Varanasi,Uttar Pradesh -Eastern,North,Mr.Rajendra Prasad,9889603075,"Nariyabal, Bareilly",243123
Akash Auto Repairing Center,ward no.11 Sanjay Nagar,Chandauli,Uttar Pradesh -Eastern,North,Mr.Jamaluddin,9453642026,"ward no.11 Sanjay Nagar, Chandauli",232101
Mohsin Auto Service,"Bijnor Road,",Chandpur,Uttar Pradesh - Western,North,Md.Mohsin,9837864017,"Bijnor Road, Chandpur",246725
Aslam Honda Service,"Bijnor Road,",Chandpur,Uttar Pradesh - Western,North,Md.Aslam,9837540471,"Bijnor Road, Chandpur",246725
Jazira Motor Works,"Bijnor Road,",Chandpur,Uttar Pradesh - Western,North,ISAR AHMAD,9758101263,"Bijnor Road, Chandpur",246725
Nisar Motor Works,Dhanaura Road,Chandpur,Uttar Pradesh - Western,North,Nisar Ahmad,9837976144,"Dhanaura Road, Chandpur",246725
Chaman Motor Works,Dhanaura Road,Chandpur,Uttar Pradesh - Western,North,Chaman Singh,9837527966,"Dhanaura Road, Chandpur",246725
Sai Auto Service,Bijnor Road,Chandpur,Uttar Pradesh - Western,North,chatterpal Singh,9927287213,"Bijnor Road, Chandpur",246725
Arif Auto Mobiles,"Haridwar Road,",Najibabad,Uttar Pradesh - Western,North,Md.Arif,9897605173,"Haridwar Road, Najibabad",246763
Tahir Auto Service,Kotdwar Road,Najibabad,Uttar Pradesh - Western,North,Md.Tahir,9917162839,"Kotdwar Road, Najibabad",246763
New Delhi Workshop,Noorpur Road,Nehtour,Uttar Pradesh - Western,North,Md.New,9837535391,"Noorpur Road, Nehtour",246733
Margoob Motors Works,Moradabad Road,Sambhal,Uttar Pradesh - Western,North,Md.Margoob,9917451292,"Moradabad Road, Sambhal",244302
Guddu Auto Service,Bazpur Road,Suar,Uttar Pradesh - Western,North,Md.Guddu,9719996858,Bazpur Road Suar,244924
